# ---------------------------------------------------------------------
# XATOM HFS : electronic structure of atoms and more, v2.0.0-15-g9da229
#
# Job started at  : 13-Oct-2025  9:50:35
# ---------------------------------------------------------------------
# Atom: Xe
#   nuclear charge:   54
#   total electrons:  54
#   total charge:     +0
#   configuration: 1s2_2s2_2p6_3s2_3p6_4s2_3d10_4p6_5s2_4d10_5p6
#
# Computational method:
#   exchange functional: Slater (Latter tail correction)
#   correlation functional: none
#
# Grid for the spherical coordinate:
#   N =  200
#   L parameter =      1.0
#   Rmax(a.u.)  =     50.0
#   lmax  =    2
#
# SCF converged after   27 iterations
#   energy convergence  = -6.146E-08
#   density convergence =  1.260E-08
#
# Energies: 
# - zeroth-order energy (a.u.):
#   SUM of E_orb   =   -4472.41193205  [   -121700.52 eV ]
#   (SUM of E_kin) =    7308.74200814
#   (Effec. pot E) =  -11781.15394019
#
# - first-order energy (a.u.): with DFT formula
#   Kinetic E      =    7308.74200814
#   E Latter corr  =      -0.03186153
#   Nuc-Elec pot E =  -17282.26547899    One-Elec E =   -9973.55533238
#
#   Hartree E      =    2922.88469410
#   Exchange E     =    -258.46949090
#   Correlation E  =       0.00000000    Two-Elec E =    2664.41520319
#   ---------------------------------
#   Total Energy   =   -7309.14012918  [   -198891.81 eV ]
#
#                E(0)        E(1)
# |E_TOT|  -121700.52  -198891.81
#
# Orbital energies: 
#        n_occ        E(a.u.)          E(eV)         KE(eV)
#   1s       2 -1217.19256680  -33121.493607   38993.008829
#   2s       2  -186.02006187   -5061.863224    8265.453797
#   2p       6  -175.52262903   -4776.213554    8312.175218
#   3s       2   -38.47349348   -1046.916982    2485.806082
#   3p       6   -33.95615843    -923.994046    2434.793869
#   4s       2    -7.09343736    -193.022244     729.017371
#   3d      10   -25.47861929    -693.308478    2325.953860
#   4p       6    -5.46288645    -148.652698     669.482516
#   5s       2    -0.80112475     -21.799713     135.777391
#   4d      10    -2.62990439     -71.563337     532.563966
#   5p       6    -0.41921389     -11.407390      96.494356
#
#              1s        2s        2p        3s        3p        4s        3d        4p        5s        4d        5p
# |SCF| -33121.49  -5061.86  -4776.21  -1046.92   -923.99   -193.02   -693.31   -148.65    -21.80    -71.56    -11.41
#
# Radial wavefunction information (a.u.): (r_m: r_max where |u(r)| >  1.0E-08)
#              <r>       <r^2>         r_m   norm. err
#   1s       0.028       0.001       0.465     3.4E-04
#   2s       0.121       0.017       1.235     3.6E-05
#   2p       0.103       0.013       1.240    -2.1E-07
#   3s       0.318       0.116       2.705     7.2E-06
#   3p       0.308       0.110       2.830    -1.0E-07
#   4s       0.738       0.614       6.115     1.5E-06
#   3d       0.278       0.091       3.125    -4.5E-08
#   4p       0.766       0.667       6.820    -9.2E-08
#   5s       1.877       3.985      17.770     8.9E-08
#   4d       0.848       0.837       9.310    -7.7E-08
#   5p       2.231       5.749      24.370    -1.3E-07
#
# Uniform grid parameters for continuum states:
#   N_uniform             =    4887
#   continuum_rmax(a.u.)  =      24.437 (internally determined)
#   dr(a.u.)              =   5.00E-03
#   threshold to determine r_m =   1.00E-08
#   continuum_rmax is just right next to r_m in radial grid.
#
# Photoabsorption cross section (in Mb):
P.E.(eV)        Total         1s           2s           2p           3s           3p           4s           3d           4p           5s           4d           5p  
  4600.00000  5.50385E-02  0.00000E+00  0.00000E+00  0.00000E+00  7.65792E-03  2.29656E-02  1.74458E-03  1.50365E-02  4.48972E-03  2.60278E-04  2.38899E-03  4.94876E-04
  4601.00000  5.50070E-02  0.00000E+00  0.00000E+00  0.00000E+00  7.65473E-03  2.29537E-02  1.74383E-03  1.50253E-02  4.48739E-03  2.60165E-04  2.38728E-03  4.94618E-04
  4602.00000  5.49756E-02  0.00000E+00  0.00000E+00  0.00000E+00  7.65154E-03  2.29418E-02  1.74308E-03  1.50141E-02  4.48507E-03  2.60052E-04  2.38557E-03  4.94360E-04
  4603.00000  5.49442E-02  0.00000E+00  0.00000E+00  0.00000E+00  7.64835E-03  2.29299E-02  1.74234E-03  1.50029E-02  4.48275E-03  2.59939E-04  2.38387E-03  4.94102E-04
  4604.00000  5.49128E-02  0.00000E+00  0.00000E+00  0.00000E+00  7.64516E-03  2.29181E-02  1.74159E-03  1.49917E-02  4.48042E-03  2.59826E-04  2.38216E-03  4.93844E-04
  4605.00000  5.48814E-02  0.00000E+00  0.00000E+00  0.00000E+00  7.64198E-03  2.29062E-02  1.74085E-03  1.49805E-02  4.47810E-03  2.59714E-04  2.38046E-03  4.93587E-04
  4606.00000  5.48501E-02  0.00000E+00  0.00000E+00  0.00000E+00  7.63880E-03  2.28944E-02  1.74010E-03  1.49694E-02  4.47579E-03  2.59601E-04  2.37876E-03  4.93330E-04
  4607.00000  5.48188E-02  0.00000E+00  0.00000E+00  0.00000E+00  7.63561E-03  2.28825E-02  1.73935E-03  1.49582E-02  4.47347E-03  2.59489E-04  2.37706E-03  4.93073E-04
  4608.00000  5.47875E-02  0.00000E+00  0.00000E+00  0.00000E+00  7.63244E-03  2.28707E-02  1.73861E-03  1.49471E-02  4.47115E-03  2.59376E-04  2.37536E-03  4.92816E-04
  4609.00000  5.47562E-02  0.00000E+00  0.00000E+00  0.00000E+00  7.62926E-03  2.28588E-02  1.73787E-03  1.49359E-02  4.46884E-03  2.59264E-04  2.37366E-03  4.92560E-04
  4610.00000  5.47250E-02  0.00000E+00  0.00000E+00  0.00000E+00  7.62608E-03  2.28470E-02  1.73712E-03  1.49248E-02  4.46653E-03  2.59152E-04  2.37197E-03  4.92303E-04
  4611.00000  5.46937E-02  0.00000E+00  0.00000E+00  0.00000E+00  7.62291E-03  2.28352E-02  1.73638E-03  1.49137E-02  4.46422E-03  2.59040E-04  2.37028E-03  4.92047E-04
  4612.00000  5.46626E-02  0.00000E+00  0.00000E+00  0.00000E+00  7.61974E-03  2.28234E-02  1.73564E-03  1.49026E-02  4.46191E-03  2.58928E-04  2.36858E-03  4.91791E-04
  4613.00000  5.46314E-02  0.00000E+00  0.00000E+00  0.00000E+00  7.61657E-03  2.28116E-02  1.73489E-03  1.48915E-02  4.45960E-03  2.58816E-04  2.36689E-03  4.91536E-04
  4614.00000  5.46002E-02  0.00000E+00  0.00000E+00  0.00000E+00  7.61340E-03  2.27998E-02  1.73415E-03  1.48804E-02  4.45730E-03  2.58704E-04  2.36521E-03  4.91280E-04
